連番1	連番2	連番3	所要区分	親指図番号	割当(WBS)	受注伝票	入出庫番号	入庫保管場所	親品目コード	親品目テキスト	原価センタテキスト	出荷伝票	出庫数量	親MRP管理者	親指図計画開始日	親指図計画終了日	BOM明細番号	子指図番号	子品目コード	子品目テキスト	所要日	所要残数	在庫数	在庫引当	所要引当残数	子MRP管理者	購買発注番号	子指図計画開始日	子指図計画終了日	計画数量	計画引当	計画引当残数	作業区４	作業区５	払出完了	進捗	工程(子)	C	A	C,A以外	作業0020時間(分)	作業0030時間(分)	作業0040時間(分)	作業0050時間(分)	作業0060時間(分)	検査	標準原価	指図テキスト
0000000245	0000000001		製造指図出庫	40161919	G-0338190-10	338190-0010	8056465-0031		A00A2100700	SCA26-60/100-135VC（屋外)			1.000	B50	2025/11/12	2025/12/10	0300		P00A0717116	MK-7171C U16 (MK691 S99)	2025/11/12	1.000	0.000	0.000	1.000																						34,145.000000	
0000000246	0000000001		製造指図出庫	40161601	M-0337456-10	337456-0010	8048415-0044		A00A2095800	MED-3525			1.000	B50	2025/09/22	2025/10/07	0430		P00A0717121	MK-7171D U21 (MK691 SD8)	2025/09/22	1.000	3.000	1.000	0.000																						22,997.000000	
0000000247	0000000001		製造指図出庫	40162930	M-0340039-10	340039-0010	8084938-0022		A00A2107900	ECA4F6-400-300LSV			3.000	C17	2025/09/19	2025/11/18	0210		P00A0717122	MK-7171D U22 (MK691 SD9)	2025/09/19	3.000	2.000	2.000	1.000																						22,463.000000	
0000000248	0000000001	0000000001	製造指図出庫	40162930	M-0340039-10	340039-0010	8084938-0022		A00A2107900	ECA4F6-400-300LSV			3.000	C17	2025/09/19	2025/11/18	0210	50120548	P00A0717122	MK-7171D U22 (MK691 SD9)	2025/09/19	3.000	2.000	2.000	1.000	PC1		2025/09/11	2025/10/02	4.000	1.000	3.000	A0801	A0802	○	○○○○○○○○		80	2,013	316	0.000	0.000	0.000	0.000	64.000	E	22,463.000000	
0000000249	0000000002	0000000001	製造指図出庫	40165258	M-0345423-10	345423-0010	8163718-0014		A00A2134900	ECA4F6-350-500LSV 抵抗有			2.000	C17	2025/10/07	2026/01/05	0130	50120548	P00A0717122	MK-7171D U22 (MK691 SD9)	2025/10/07	2.000	2.000	0.000	2.000	PC1		2025/09/11	2025/10/02	4.000	2.000	1.000	A0801	A0802	○	○○○○○○○○		80	2,013	316	0.000	0.000	0.000	0.000	64.000	E	22,463.000000	
0000000250	0000000003	0000000001	製造指図出庫	40165259	M-0345423-20	345423-0020	8163719-0013		A00A2135100	ECA4F6-350-500LSV 抵抗無			1.000	C17	2025/10/07	2026/01/05	0120	50120548	P00A0717122	MK-7171D U22 (MK691 SD9)	2025/10/07	1.000	2.000	0.000	1.000	PC1		2025/09/11	2025/10/02	4.000	1.000	0.000	A0801	A0802	○	○○○○○○○○		80	2,013	316	0.000	0.000	0.000	0.000	64.000	E	22,463.000000	
0000000251		0000000001																50120244	P00A0718200	DK-7182 FILTER BOARD			0.000			PC1		2025/08/20	2025/09/09	4.000	0.000	4.000	A0801	A0802	＊	＊＊○○○○○－		0	0	68	0.000	0.000	0.000	0.000	0.000		3,073.000000	
0000000252	0000000001		製造指図出庫	10133900			8189218-0003	1210	U00A0192800	MK-691 MK-7171ｵｷｶｴｾｯﾄ			1.000	C51	2025/10/29	2025/11/14	0030		P00A0718300	MK-7183 TB-CN CHG1	2025/10/29	1.000	9.000	1.000	0.000																						3,132.000000	
0000000253	0000000002		出荷			6366056-0010						80922235-0010	1.000						P00A0718300	MK-7183 TB-CN CHG1	2025/11/11	1.000	9.000	1.000	0.000																						3,132.000000	
0000000254	0000000003		出荷			6366575-0010						80924133-0010	1.000						P00A0718300	MK-7183 TB-CN CHG1	2025/11/11	1.000	9.000	1.000	0.000																						3,132.000000	
